league,season,team,player,nation,pos,age,born,MP Playing Time,Starts Playing Time,Min Playing Time,90s Playing Time,Gls Performance,Ast Performance,G+A Performance,G-PK Performance,PK Performance,PKatt Performance,CrdY Performance,CrdR Performance,xG Expected,npxG Expected,xAG Expected,npxG+xAG Expected,PrgC Progression,PrgP Progression,PrgR Progression,Gls Per 90 Minutes,Ast Per 90 Minutes,G+A Per 90 Minutes,G-PK Per 90 Minutes,G+A-PK Per 90 Minutes,xG Per 90 Minutes,xAG Per 90 Minutes,xG+xAG Per 90 Minutes,npxG Per 90 Minutes,npxG+xAG Per 90 Minutes,90s,G-xG Expected,np:G-xG Expected,npxG/Sh Expected,Dist Standard,FK Standard,G/Sh Standard,G/SoT Standard,Gls Standard,PK Standard,PKatt Standard,Sh Standard,Sh/90 Standard,SoT Standard,SoT% Standard,SoT/90 Standard,1/3,Ast,CrsPA,A-xAG Expected,xA Expected,KP,Att Long,Cmp Long,Cmp% Long,Att Medium,Cmp Medium,Cmp% Medium,PPA,PrgP,Att Short,Cmp Short,Cmp% Short,Att Total,Cmp Total,Cmp% Total,PrgDist Total,TotDist Total,xAG,Att,In Corner Kicks,Out Corner Kicks,Str Corner Kicks,Blocks Outcomes,Cmp Outcomes,Off Outcomes,CK Pass Types,Crs Pass Types,Dead Pass Types,FK Pass Types,Live Pass Types,Sw Pass Types,TB Pass Types,TI Pass Types,GCA GCA,GCA90 GCA,Def GCA Types,Fld GCA Types,PassDead GCA Types,PassLive GCA Types,Sh GCA Types,TO GCA Types,SCA SCA,SCA90 SCA,Def SCA Types,Fld SCA Types,PassDead SCA Types,PassLive SCA Types,Sh SCA Types,TO SCA Types,Blocks Blocks,Pass Blocks,Sh Blocks,Att Challenges,Lost Challenges,Tkl Challenges,Tkl% Challenges,Clr,Err,Int,Att 3rd Tackles,Def 3rd Tackles,Mid 3rd Tackles,Tkl Tackles,TklW Tackles,Tkl+Int,1/3 Carries,CPA Carries,Carries Carries,Dis Carries,Mis Carries,PrgC Carries,PrgDist Carries,TotDist Carries,PrgR Receiving,Rec Receiving,Att Take-Ons,Succ Take-Ons,Succ% Take-Ons,Tkld Take-Ons,Tkld% Take-Ons,Att 3rd Touches,Att Pen Touches,Def 3rd Touches,Def Pen Touches,Live Touches,Mid 3rd Touches,Touches Touches,Min% Playing Time,Mn/MP Playing Time,Compl Starts,Mn/Start Starts,Starts Starts,Mn/Sub Subs,Subs Subs,unSub Subs,+/- Team Success,+/-90 Team Success,On-Off Team Success,PPM Team Success,onG Team Success,onGA Team Success,On-Off Team Success (xG),onxG Team Success (xG),onxGA Team Success (xG),xG+/- Team Success (xG),xG+/-90 Team Success (xG),Lost Aerial Duels,Won Aerial Duels,Won% Aerial Duels,2CrdY Performance,Crs Performance,Fld Performance,Fls Performance,Int Performance,OG Performance,Off Performance,PKcon Performance,PKwon Performance,Recov Performance,TklW Performance
FRA-Ligue 1,2324,Lens,Elye Wahi,FRA,FW,20,2003,27,20,1692,18.8,9,3,12,8,1,1,10,1,11.5,10.7,2.6,13.4,52,15,171,0.48,0.16,0.64,0.43,0.59,0.61,0.14,0.75,0.57,0.71,18.8,-2.5,-2.7,0.18,13.3,0,0.14,0.27,9,1,1,59,3.14,30,50.8,1.6,8,3,0,0.4,1.0,16,11,7,63.6,79,55,69.6,4,15,160,125,78.1,295,214,72.5,322,2542,2.6,295,0,0,0,8,214,1,0,10,36,0,258,1,1,0,3,0.16,0,0,1,1,1,0,41,2.18,3,5,1,23,6,3,5,4,1,10,8,2,20.0,3,0,3,2,1,3,6,4,9,24,26,362,25,57,52,1024,2398,171,360,44,17,38.6,20,45.5,276,115,18,1,480,196,481,55.3,63,2,75,20,28,7,1,7,0.37,0.31,1.52,25,18,0.54,31.4,22.8,8.6,0.46,27,11,28.9,1,10,16,20,3,0,25,0,1,34,4
FRA-Ligue 1,2324,Lens,Facundo Medina,ARG,DF,24,1999,31,30,2714,30.2,1,3,4,1,0,0,11,0,1.1,1.1,1.8,2.9,51,219,20,0.03,0.1,0.13,0.03,0.13,0.04,0.06,0.1,0.04,0.1,30.2,-0.1,-0.1,0.06,18.6,0,0.05,0.08,1,0,0,19,0.63,12,63.2,0.4,205,3,7,1.2,2.6,25,256,149,58.2,958,885,92.4,31,219,813,738,90.8,2112,1823,86.3,11954,32296,1.8,2112,0,0,0,27,1823,4,0,20,90,79,2018,10,6,9,7,0.23,0,0,0,6,1,0,63,2.09,1,1,0,54,4,3,38,25,13,69,25,44,63.8,59,2,24,8,25,31,64,38,88,53,4,1846,15,30,51,6030,11169,20,1661,32,18,56.3,14,43.8,239,17,776,170,2367,1382,2367,88.7,88,29,90,30,17,1,0,6,0.2,-0.32,1.45,42,36,-0.17,48.9,43.0,5.9,0.2,22,37,62.7,0,20,19,51,24,0,2,0,0,229,38
FRA-Ligue 1,2324,Lens,Faitout Maouassa,FRA,"MF,DF",25,1998,3,1,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,0,2,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21,0.8,-0.1,-0.1,0.03,19.1,0,0.0,0.0,0,0,0,3,3.55,2,66.7,2.37,0,0,1,-0.1,0.1,2,3,1,33.3,7,6,85.7,1,0,17,12,70.6,29,20,69.0,129,313,0.1,29,0,1,0,1,20,0,1,3,9,0,20,0,0,8,0,0.0,0,0,0,0,0,0,4,4.68,0,0,1,2,0,1,1,1,0,1,0,1,100.0,3,0,0,0,1,0,1,1,1,0,2,21,4,0,2,62,140,2,20,2,1,50.0,1,50.0,20,4,11,3,42,11,42,2.5,25,0,45,1,16,2,6,-1,-1.18,-1.46,1.0,0,1,0.8,1.8,1.0,0.9,1.0,1,2,66.7,0,3,1,2,0,0,0,0,0,1,1
FRA-Ligue 1,2324,Lens,Florian Sotoca,FRA,"MF,FW",32,1990,32,29,2598,28.9,7,6,13,3,4,4,4,1,9.1,5.9,6.5,12.4,56,156,253,0.24,0.21,0.45,0.1,0.31,0.32,0.22,0.54,0.21,0.43,28.9,-2.1,-2.9,0.09,15.5,0,0.05,0.17,7,4,4,65,2.25,18,27.7,0.62,102,6,20,-0.5,6.3,52,138,74,53.6,491,380,77.4,57,156,665,544,81.8,1445,1071,74.1,4982,16456,6.5,1445,0,0,0,47,1071,10,2,95,74,11,1361,8,12,55,13,0.45,0,0,1,11,0,1,109,3.78,0,6,3,90,4,6,41,37,4,38,21,17,44.7,34,0,20,3,9,21,33,22,53,70,10,1321,33,49,56,2515,6652,253,1349,39,20,51.3,15,38.5,757,132,171,43,1745,837,1749,84.9,81,20,86,29,30,3,0,2,0.07,-1.1,1.47,36,34,0.03,44.6,38.2,6.4,0.22,42,92,68.7,0,95,40,28,20,0,13,0,0,98,22
FRA-Ligue 1,2324,Lens,Jean-Louis Leca,FRA,GK,37,1985,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,0,0,0,0.0,0.0,0,11,2,18.2,10,10,100.0,0,0,5,4,80.0,26,16,61.5,199,315,0.0,26,0,0,0,1,16,0,0,0,6,2,20,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,46,100,0,16,0,0,,0,,0,0,28,24,28,0,28,2.9,90,1,90,1,,0,33,0,0.0,-0.24,1.0,2,2,4.32,5.2,0.8,4.4,4.41,0,0,,0,0,0,0,0,0,0,0,0,3,0
FRA-Ligue 1,2324,Lens,Jhoanner Chávez,ECU,DF,21,2002,8,6,481,5.3,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,4,15,19,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.06,0.14,5.3,-0.3,-0.3,0.11,11.7,0,0.0,,0,0,0,3,0.56,0,0.0,0.0,13,0,2,-0.5,0.6,4,26,15,57.7,72,60,83.3,6,15,109,91,83.5,222,173,77.9,1043,2816,0.5,222,0,0,0,8,173,0,0,13,49,2,173,2,0,47,0,0.0,0,0,0,0,0,0,9,1.68,0,0,0,8,1,0,2,2,0,9,6,3,33.3,11,0,5,2,2,2,6,5,11,6,3,161,5,13,4,309,791,19,149,1,0,0.0,1,100.0,71,9,87,11,266,111,266,15.7,60,0,67,6,39,2,1,1,0.19,-0.06,1.25,7,6,-0.32,7.1,7.4,-0.3,-0.05,6,7,53.8,0,13,4,10,5,0,3,0,0,20,5
FRA-Ligue 1,2324,Lens,Jonathan Gradit,FRA,DF,30,1992,26,26,2112,23.5,1,0,1,1,0,0,9,1,0.3,0.3,0.1,0.5,21,177,6,0.04,0.0,0.04,0.04,0.04,0.01,0.01,0.02,0.01,0.02,23.5,0.7,0.7,0.07,13.8,0,0.2,1.0,1,0,0,5,0.21,1,20.0,0.04,167,0,3,-0.1,0.8,5,167,100,59.9,664,598,90.1,10,177,507,457,90.1,1383,1181,85.4,9125,21422,0.1,1383,0,0,0,8,1181,5,0,17,43,42,1335,14,1,1,2,0.09,0,0,0,2,0,0,31,1.32,0,1,1,27,2,0,30,13,17,35,16,19,54.3,61,0,37,3,15,14,32,20,69,50,0,1182,7,11,21,3507,6390,6,1078,8,4,50.0,2,25.0,145,6,482,105,1582,965,1582,69.0,81,19,81,26,,0,1,10,0.43,0.62,1.54,33,23,0.73,40.0,29.6,10.4,0.44,51,55,51.9,0,17,26,31,37,0,0,1,0,118,20
FRA-Ligue 1,2324,Lens,Julien Le Cardinal,FRA,DF,25,1997,2,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,2,0,0,0.0,0.0,0,7,4,57.1,15,12,80.0,0,4,8,6,75.0,32,23,71.9,201,435,0.0,32,0,0,0,1,23,0,0,4,5,1,27,0,0,4,0,0.0,0,0,0,0,0,0,1,1.55,0,0,0,1,0,0,2,1,1,9,5,4,44.4,0,0,0,0,4,2,6,2,6,0,0,23,0,0,1,43,142,2,18,1,1,100.0,0,0.0,5,0,16,3,40,20,40,1.9,29,0,,0,29,2,1,-2,-3.1,-3.4,0.0,1,3,-2.85,0.3,1.9,-1.7,-2.58,0,1,100.0,0,4,1,2,0,0,0,0,0,6,2
FRA-Ligue 1,2324,Lens,Kevin Danso,AUT,DF,24,1998,30,30,2655,29.5,1,0,1,1,0,0,6,0,1.8,1.8,0.4,2.2,27,133,3,0.03,0.0,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07,29.5,-0.8,-0.8,0.09,14.2,0,0.05,0.2,1,0,0,21,0.71,5,23.8,0.17,122,0,0,-0.4,0.7,8,196,128,65.3,856,779,91.0,6,133,622,573,92.1,1719,1508,87.7,10926,27659,0.4,1719,0,0,0,7,1508,3,0,3,114,70,1602,3,0,7,3,0.1,0,0,0,3,0,0,32,1.08,1,1,0,27,3,0,43,13,30,30,15,15,50.0,115,1,23,1,12,11,24,14,47,29,0,1411,8,24,27,5038,8880,3,1236,16,11,68.8,2,12.5,98,22,836,248,2010,1093,2010,86.8,89,29,89,30,,0,0,5,0.17,-0.5,1.53,37,32,-0.36,44.2,39.2,5.0,0.17,27,55,67.1,0,3,48,23,23,0,2,0,0,216,14
FRA-Ligue 1,2324,Lens,Massadio Haïdara,MLI,DF,30,1992,18,7,741,8.2,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,8,40,25,0.0,0.12,0.12,0.0,0.12,0.02,0.02,0.04,0.02,0.04,8.2,-0.1,-0.1,0.05,11.9,0,0.0,,0,0,0,3,0.36,0,0.0,0.0,19,1,4,0.8,0.4,1,42,24,57.1,169,149,88.2,8,40,194,169,87.1,431,358,83.1,2060,5791,0.2,431,0,0,0,11,358,2,0,22,56,12,373,3,0,42,1,0.12,0,0,0,1,0,0,6,0.73,0,0,1,4,1,0,7,5,2,6,2,4,66.7,32,3,11,1,5,3,9,8,20,14,2,342,5,6,8,832,1864,25,312,4,0,0.0,4,100.0,118,9,165,50,513,233,513,24.2,41,3,76,7,19,11,8,0,0.0,-0.31,1.72,8,8,-0.86,9.2,12.8,-3.6,-0.43,8,14,63.6,0,22,7,11,11,0,2,1,0,33,8
FRA-Ligue 1,2324,Lens,Morgan Guilavogui,GUI,"FW,MF",25,1998,23,2,566,6.3,2,0,2,2,0,0,1,0,1.6,1.6,1.2,2.8,16,36,75,0.32,0.0,0.32,0.32,0.32,0.25,0.2,0.44,0.25,0.44,6.3,0.4,0.4,0.07,15.1,0,0.1,0.25,2,0,0,21,3.34,8,38.1,1.27,18,0,0,-1.2,1.0,14,13,11,84.6,79,63,79.7,12,36,104,80,76.9,222,166,74.8,791,2570,1.2,222,0,0,0,9,166,2,0,5,7,0,213,0,0,1,4,0.63,0,0,0,3,1,0,27,4.26,0,0,0,24,2,1,11,9,2,11,6,5,45.5,7,0,4,5,4,12,21,10,25,8,7,239,17,23,16,384,1386,75,235,10,5,50.0,5,50.0,166,45,34,11,326,128,326,18.5,25,0,71,2,20,21,6,6,0.95,0.88,1.52,11,5,0.37,11.9,8.7,3.3,0.52,11,16,59.3,0,5,7,14,4,0,7,0,0,21,10
FRA-Ligue 1,2324,Lens,Nampalys Mendy,SEN,MF,31,1992,16,13,1052,11.7,0,1,1,0,0,0,2,0,0.2,0.2,1.1,1.3,21,84,13,0.0,0.09,0.09,0.0,0.09,0.02,0.09,0.11,0.02,0.11,11.7,-0.2,-0.2,0.03,26.5,0,0.0,0.0,0,0,0,7,0.6,2,28.6,0.17,68,1,2,-0.1,1.7,9,64,43,67.2,273,248,90.8,12,84,292,271,92.8,653,577,88.4,2648,9505,1.1,653,0,0,0,4,577,2,0,7,14,13,637,3,3,1,5,0.43,1,0,0,3,1,0,23,1.97,2,0,0,19,1,1,11,7,4,20,4,16,80.0,14,1,14,6,10,13,29,18,43,30,1,601,4,11,21,1377,3222,13,541,9,3,33.3,6,66.7,138,2,132,16,769,510,769,34.4,66,5,77,13,16,3,8,5,0.43,0.29,1.69,15,10,0.67,21.3,13.6,7.7,0.66,5,10,66.7,0,7,25,16,14,0,0,0,0,91,18
FRA-Ligue 1,2324,Lens,Neil El Aynaoui,MAR,MF,22,2001,25,17,1566,17.4,1,2,3,1,0,0,1,0,2.4,2.4,0.8,3.2,25,59,44,0.06,0.11,0.17,0.06,0.17,0.14,0.05,0.19,0.14,0.19,17.4,-1.4,-1.4,0.11,16.0,0,0.05,0.13,1,0,0,22,1.26,8,36.4,0.46,66,2,1,1.2,0.9,16,43,25,58.1,230,209,90.9,10,59,344,302,87.8,670,576,86.0,2193,8486,0.8,670,0,0,0,6,576,1,0,7,9,8,660,0,2,1,3,0.17,0,1,0,2,0,0,25,1.44,1,3,0,20,1,0,20,14,6,46,26,20,43.5,21,1,32,4,13,20,37,20,69,21,1,646,16,27,25,1271,3426,44,580,39,15,38.5,16,41.0,193,39,169,40,877,526,877,51.2,63,8,84,17,18,8,1,10,0.57,0.7,1.76,26,16,-0.34,27.4,26.5,0.9,0.05,16,15,48.4,0,7,40,21,32,0,1,0,1,94,20
FRA-Ligue 1,2324,Lens,Oscar Cortés,COL,"FW,MF",19,2003,4,0,44,0.5,1,1,2,1,0,0,0,0,0.5,0.5,0.7,1.1,1,2,8,2.05,2.05,4.09,2.05,4.09,0.93,1.41,2.35,0.93,2.35,0.5,0.5,0.5,0.46,7.7,0,1.0,1.0,1,0,0,1,2.05,1,100.0,2.05,1,1,1,0.3,0.1,1,1,0,0.0,4,3,75.0,1,2,19,13,68.4,26,18,69.2,36,217,0.7,26,0,0,0,0,18,0,0,2,0,0,26,0,0,0,0,0.0,0,0,0,0,0,0,1,2.05,0,0,0,1,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,30,2,6,1,42,175,8,30,0,0,,0,,20,5,1,0,35,14,35,1.4,11,0,,0,11,4,5,2,4.09,3.91,1.75,2,0,0.91,1.4,0.9,0.5,1.12,2,1,33.3,0,2,1,0,0,0,1,0,0,2,0
FRA-Ligue 1,2324,Lens,Przemysław Frankowski,POL,DF,28,1995,30,24,2192,24.4,3,2,5,2,1,2,4,0,3.7,2.1,3.8,5.9,56,112,210,0.12,0.08,0.21,0.08,0.16,0.15,0.16,0.31,0.09,0.24,24.4,-0.7,-0.1,0.08,21.7,2,0.07,0.25,3,1,2,29,1.19,8,27.6,0.33,75,2,15,-1.8,5.0,39,137,70,51.1,525,406,77.3,43,112,580,503,86.7,1320,1008,76.4,5614,16279,3.8,1320,3,4,0,38,1008,6,10,118,206,8,1108,5,3,188,4,0.16,0,0,0,3,1,0,76,3.12,1,0,8,63,2,2,30,23,7,74,43,31,41.9,36,0,25,9,25,26,60,39,85,42,6,1056,15,36,56,2415,5787,210,997,30,12,40.0,18,60.0,647,55,299,49,1582,646,1584,71.6,73,17,84,24,31,6,2,5,0.21,-0.11,1.4,28,23,0.27,39.3,32.2,7.1,0.29,26,17,39.5,0,118,12,33,25,0,0,0,0,96,39
FRA-Ligue 1,2324,Lens,Ruben Aguilar,FRA,DF,30,1993,25,22,1922,21.4,1,3,4,1,0,0,3,0,1.4,1.4,2.9,4.3,36,110,162,0.05,0.14,0.19,0.05,0.19,0.07,0.14,0.2,0.07,0.2,21.4,-0.4,-0.4,0.12,16.1,0,0.08,0.25,1,0,0,12,0.56,4,33.3,0.19,73,3,14,0.1,4.0,26,93,44,47.3,443,369,83.3,42,110,666,594,89.2,1282,1044,81.4,5987,15383,2.9,1282,0,0,0,35,1044,3,0,75,185,17,1094,1,3,168,5,0.23,0,0,0,5,0,0,47,2.2,0,0,1,43,2,1,35,30,5,45,18,27,60.0,46,0,26,3,27,23,53,31,79,37,2,1039,10,31,36,2333,5334,162,970,20,6,30.0,12,60.0,518,38,326,64,1533,699,1533,62.8,77,16,86,22,13,3,3,14,0.66,1.13,1.8,33,19,0.24,37.1,30.6,6.5,0.31,23,24,51.1,0,75,24,20,26,0,3,1,0,106,31
FRA-Ligue 1,2324,Lens,Salis Abdul Samed,GHA,MF,23,2000,27,17,1519,16.9,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,9,78,20,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,16.9,-0.8,-0.8,0.17,21.6,0,0.0,,0,0,0,5,0.3,0,0.0,0.0,87,0,2,-0.5,1.1,6,54,41,75.9,360,330,91.7,5,78,433,393,90.8,895,796,88.9,3008,12470,0.5,895,0,0,0,17,796,2,0,3,18,17,875,1,0,1,3,0.18,0,0,0,3,0,0,27,1.6,0,0,0,27,0,0,12,11,1,18,10,8,44.4,18,0,12,3,8,10,21,14,33,33,0,823,11,23,9,1683,4361,20,780,19,7,36.8,11,57.9,218,7,168,21,1022,647,1022,49.6,56,11,81,17,15,10,4,2,0.12,-0.23,1.74,20,18,-0.39,24.6,24.2,0.4,0.02,7,2,22.2,0,3,16,34,12,0,0,3,0,89,14
FRA-Ligue 1,2324,Lens,Stijn Spierings,NED,MF,27,1996,4,1,118,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,6,0,0,0.0,0.0,0,5,4,80.0,24,22,91.7,0,9,27,22,81.5,59,50,84.7,305,889,0.0,59,0,0,0,2,50,0,0,1,0,0,59,1,0,0,0,0.0,0,0,0,0,0,0,1,0.76,0,0,0,1,0,0,2,1,1,1,0,1,100.0,1,0,2,0,0,1,1,0,3,1,0,51,1,0,0,87,238,4,47,0,0,,0,,15,1,15,1,69,39,69,3.9,30,0,56,1,21,3,0,-4,-3.05,-3.42,0.25,1,5,-2.28,0.4,3.0,-2.6,-1.98,0,0,,0,1,2,5,2,0,0,0,0,5,0
FRA-Ligue 1,2324,Lens,Wesley Saïd,FRA,"FW,MF",28,1995,27,11,1020,11.3,7,1,8,7,0,0,1,0,5.7,5.7,0.9,6.6,18,26,95,0.62,0.09,0.71,0.62,0.71,0.5,0.08,0.58,0.5,0.58,11.3,1.3,1.3,0.13,13.6,0,0.16,0.39,7,0,0,45,3.97,18,40.0,1.59,20,1,2,0.1,1.2,12,26,15,57.7,79,55,69.6,12,26,132,101,76.5,268,193,72.0,706,2835,0.9,268,0,0,0,3,193,2,0,15,27,1,239,1,2,5,5,0.44,0,1,0,1,1,2,38,3.35,2,2,0,25,5,4,4,4,0,9,7,2,22.2,3,0,4,5,1,2,8,4,12,15,7,298,11,27,18,741,1747,95,285,21,13,61.9,7,33.3,209,77,27,2,386,158,386,33.3,38,0,65,11,19,16,1,3,0.26,0.04,1.48,16,13,-0.23,17.7,17.0,0.7,0.06,23,8,25.8,0,15,15,33,4,0,8,0,1,33,4
FRA-Ligue 1,2324,Lille,Aaron Malouda,FRA,FW,17,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,0,0,0,0.0,0.0,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0.0,1,0,,0,1,1,8,0,0.0,-0.53,3.0,0,0,-0.36,0.0,0.0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0
FRA-Ligue 1,2324,Lille,Adam Ounas,ALG,FW,26,1996,17,3,418,4.6,1,0,1,1,0,0,0,0,0.6,0.6,1.9,2.6,20,20,40,0.22,0.0,0.22,0.22,0.22,0.14,0.41,0.55,0.14,0.55,4.6,0.4,0.4,0.07,18.6,1,0.11,0.33,1,0,0,9,1.94,3,33.3,0.65,7,0,5,-1.9,1.8,13,29,16,55.2,64,47,73.4,11,20,84,70,83.3,194,138,71.1,766,2338,1.9,194,5,1,0,4,138,1,8,22,12,2,181,1,2,2,1,0.22,0,0,0,0,1,0,28,6.04,0,4,1,17,2,4,2,2,0,7,5,2,28.6,1,0,6,0,2,2,4,3,10,12,8,198,16,13,20,616,1328,40,183,25,16,64.0,6,24.0,133,15,27,2,253,102,253,13.7,25,1,73,3,14,14,1,4,0.86,0.38,1.76,10,6,0.63,11.1,6.9,4.2,0.9,6,6,50.0,0,22,12,3,6,0,1,0,1,27,3
FRA-Ligue 1,2324,Lille,Alan Virginius,FRA,FW,20,2003,2,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.8,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,2,0,0,0.0,0.0,1,0,0,,7,5,71.4,0,2,8,7,87.5,17,14,82.4,45,183,0.0,17,0,0,0,0,14,0,0,1,0,0,17,0,0,0,0,0.0,0,0,0,0,0,0,2,2.54,0,0,0,1,0,1,0,0,0,1,1,0,0.0,0,0,0,0,1,0,1,1,1,0,1,19,0,1,1,54,109,4,18,4,2,50.0,2,50.0,9,2,2,0,21,10,21,2.3,36,0,66,1,5,1,5,-1,-1.27,-1.84,2.0,0,1,-0.7,0.9,1.1,-0.3,-0.32,1,0,0.0,0,1,0,0,0,0,0,0,0,2,1
FRA-Ligue 1,2324,Lille,Alexsandro Ribeiro,BRA,DF,23,1999,29,24,2220,24.7,0,0,0,0,0,0,6,1,2.0,2.0,0.5,2.6,15,82,7,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,24.7,-2.0,-2.0,0.12,10.9,0,0.0,0.0,0,0,0,17,0.69,2,11.8,0.08,83,0,0,-0.5,0.7,5,201,128,63.7,934,868,92.9,5,82,618,584,94.5,1804,1615,89.5,10802,29871,0.5,1804,0,0,0,9,1615,2,0,2,96,65,1706,12,3,6,1,0.04,0,0,0,0,1,0,11,0.45,0,0,0,10,1,0,25,10,15,31,15,16,51.6,116,5,35,0,24,8,32,22,67,10,2,1584,7,15,15,3888,7890,7,1495,10,4,40.0,3,30.0,64,25,893,213,2069,1121,2069,72.5,77,22,89,24,16,5,3,19,0.77,0.88,1.93,38,19,0.0,36.4,27.5,8.8,0.36,17,39,69.6,0,2,37,27,35,1,1,0,0,124,22
FRA-Ligue 1,2324,Lille,Andrej Ilic,SRB,FW,23,2000,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,0,0,0,0.0,0.0,0,0,0,,0,0,,0,0,1,1,100.0,1,1,100.0,0,12,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,,0,,0,0,0,0,1,1,1,0.3,5,0,,0,5,2,1,0,0.0,-0.53,3.0,0,0,-0.85,0.1,0.2,0.0,-0.49,0,0,,0,0,0,1,0,0,0,0,0,0,0
FRA-Ligue 1,2324,Lille,Angel Gomes,ENG,MF,22,2000,31,29,2571,28.6,0,8,8,0,0,0,5,0,2.0,2.0,6.2,8.2,49,204,71,0.0,0.28,0.28,0.0,0.28,0.07,0.22,0.29,0.07,0.29,28.6,-2.0,-2.0,0.06,23.6,5,0.0,0.0,0,0,0,34,1.19,7,20.6,0.25,164,8,1,1.8,6.0,48,220,170,77.3,680,632,92.9,45,204,779,727,93.3,1751,1566,89.4,7062,27874,6.2,1751,13,3,0,25,1566,5,24,45,63,34,1683,22,10,4,12,0.42,0,0,3,8,1,0,107,3.75,2,9,12,73,7,4,23,17,6,32,18,14,43.8,28,1,18,7,4,15,26,13,44,56,7,1644,15,26,49,3733,8464,71,1589,35,22,62.9,12,34.3,424,38,299,45,1940,1231,1940,84.0,83,14,86,29,41,2,0,17,0.6,0.41,1.61,44,27,0.01,39.9,29.7,10.2,0.36,13,7,35.0,0,45,36,31,18,0,0,0,0,125,13
FRA-Ligue 1,2324,Lille,Ayyoub Bouaddi,FRA,MF,15,2007,9,1,131,1.5,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,1,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,1.5,0.0,0.0,,,0,,,0,0,0,0,0.0,0,,0.0,10,0,1,0.0,0.0,1,14,11,78.6,46,44,95.7,1,12,51,46,90.2,115,103,89.6,594,1783,0.0,115,0,0,0,3,103,0,0,2,0,0,115,0,0,0,0,0.0,0,0,0,0,0,0,2,1.37,0,0,0,2,0,0,2,2,0,5,3,2,40.0,3,0,1,0,6,0,6,2,7,4,0,108,3,7,1,261,604,2,97,1,1,100.0,0,0.0,17,1,34,6,135,87,135,4.3,15,0,44,1,11,8,15,1,0.69,0.16,2.0,2,1,0.23,2.2,1.3,0.8,0.58,2,1,33.3,1,2,0,8,1,0,0,0,0,17,2
